44.8559 	EXP 	grating: autoDraw = False
44.8559 	EXP 	grating: ori = -4.0
44.8559 	EXP 	fixation: autoDraw = True
45.3559 	INFO 	Keyboard events cleared
45.3553 	EXP 	fixation: autoDraw = False
45.3553 	EXP 	grating: autoDraw = True
45.6418 	DATA 	Keypress: right
45.6557 	EXP 	grating: autoDraw = False
45.6557 	EXP 	fixation: autoDraw = False
45.6557 	EXP 	grating: autoDraw = False
45.6557 	EXP 	grating: ori = 4.5
45.6557 	EXP 	fixation: autoDraw = True
46.1546 	INFO 	Keyboard events cleared
46.1540 	EXP 	fixation: autoDraw = False
46.1540 	EXP 	grating: autoDraw = True
46.4543 	EXP 	grating: autoDraw = False
46.7240 	DATA 	Keypress: right
46.7375 	EXP 	fixation: autoDraw = False
46.7375 	EXP 	grating: autoDraw = False
46.7375 	EXP 	grating: ori = -4.5
46.7375 	EXP 	fixation: autoDraw = True
47.2378 	INFO 	Keyboard events cleared
47.2373 	EXP 	fixation: autoDraw = False
47.2373 	EXP 	grating: autoDraw = True
47.5374 	EXP 	grating: autoDraw = False
48.3054 	DATA 	Keypress: left
48.3199 	EXP 	fixation: autoDraw = False
48.3199 	EXP 	grating: autoDraw = False
48.3199 	EXP 	grating: ori = -4.5
48.3199 	EXP 	fixation: autoDraw = True
48.8199 	INFO 	Keyboard events cleared
48.8194 	EXP 	fixation: autoDraw = False
48.8194 	EXP 	grating: autoDraw = True
49.1191 	EXP 	grating: autoDraw = False
49.3540 	DATA 	Keypress: left
49.3687 	EXP 	fixation: autoDraw = False
49.3687 	EXP 	grating: autoDraw = False
49.3687 	EXP 	grating: ori = 4.0
49.3687 	EXP 	fixation: autoDraw = True
49.8690 	INFO 	Keyboard events cleared
49.8683 	EXP 	fixation: autoDraw = False
49.8683 	EXP 	grating: autoDraw = True
50.1686 	EXP 	grating: autoDraw = False
50.3875 	DATA 	Keypress: right
50.4017 	EXP 	fixation: autoDraw = False
50.4017 	EXP 	grating: autoDraw = False
50.4017 	EXP 	grating: ori = -4.0
50.4017 	EXP 	fixation: autoDraw = True
50.9015 	INFO 	Keyboard events cleared
50.9011 	EXP 	grating: autoDraw = True
50.9184 	EXP 	fixation: autoDraw = False
51.2008 	EXP 	grating: autoDraw = False
51.3197 	DATA 	Keypress: right
51.3339 	EXP 	fixation: autoDraw = False
51.3339 	EXP 	grating: autoDraw = False
51.3339 	EXP 	grating: ori = -4.5
51.3339 	EXP 	fixation: autoDraw = True
51.8342 	INFO 	Keyboard events cleared
51.8337 	EXP 	fixation: autoDraw = False
